,DATE_REPORTED,DATE_OCCURRED,TIME_OCCURRED,PATROL_DIVISION,AREA_NAME,CRIME_CODE,CRIME_DESCRIPTION,VICTIM_AGE,VICTIM_SEX,VICTIM_RACE,PREMISE,LAT,LON
79,2008-01-07,2008-01-07,15:40:00,73.0,BROOKLYN,235,DANGEROUS DRUGS,,E,UNKNOWN,STREET,40.684041558,-73.917415401
80,2006-04-17,2006-04-17,05:25:00,33.0,MANHATTAN,578,HARRASSMENT 2,45-64,F,BLACK,STREET,,
81,2008-01-17,2008-01-15,03:22:00,60.0,BROOKLYN,114,ARSON,,E,UNKNOWN,RESIDENCE - APT. HOUSE,40.576703151,-73.99452975
82,2006-04-26,2006-04-16,14:30:00,107.0,QUEENS,361,OFF. AGNST PUB ORD SENSBLTY &,65+,F,WHITE,RESIDENCE-HOUSE,,
83,2011-11-23,2011-11-23,18:50:00,101.0,QUEENS,578,HARRASSMENT 2,45-64,F,BLACK,STREET,40.604791059,-73.753999254
84,2009-01-16,2009-01-16,18:30:00,48.0,BRONX,352,CRIMINAL TRESPASS,,E,UNKNOWN,STREET,40.845468077,-73.888079795
85,2011-03-31,2011-03-31,04:00:00,23.0,MANHATTAN,113,FORGERY,,E,UNKNOWN,STREET,40.796081632,-73.943486226
86,2006-04-27,2006-04-27,12:05:00,44.0,BRONX,348,VEHICLE AND TRAFFIC LAWS,,E,UNKNOWN,STREET,,
87,2009-06-25,2009-06-25,16:00:00,103.0,QUEENS,105,ROBBERY,<18,M,WHITE,STREET,40.715254075,-73.763969741
88,2006-04-26,2006-04-26,12:20:00,83.0,BROOKLYN,344,ASSAULT 3 & RELATED OFFENSES,25-44,M,WHITE HISPANIC,STREET,,
89,2008-03-15,2008-03-15,01:00:00,43.0,BRONX,235,DANGEROUS DRUGS,,E,UNKNOWN,STREET,40.838778865,-73.864701374
90,2007-01-28,2007-01-28,03:50:00,,,101,MURDER & NON-NEGL. MANSLAUGHTER,45-64,M,BLACK,,40.82833429,-73.911917378
91,2008-09-26,2008-09-23,08:07:00,109.0,QUEENS,112,THEFT-FRAUD,45-64,F,BLACK,ATM,40.764830055,-73.822077072
92,2008-03-29,2008-03-29,03:05:00,46.0,BRONX,109,GRAND LARCENY,,M,UNKNOWN,STREET,40.860286884,-73.894045157
93,2011-05-13,2011-05-13,20:30:00,44.0,BRONX,235,DANGEROUS DRUGS,,E,UNKNOWN,STREET,40.82936265,-73.914355107
94,2008-06-13,2008-06-13,16:00:00,,,101,MURDER & NON-NEGL. MANSLAUGHTER,<18,M,WHITE HISPANIC,,,
95,2008-05-11,2008-04-11,03:00:00,43.0,BRONX,344,ASSAULT 3 & RELATED OFFENSES,18-24,F,WHITE HISPANIC,RESIDENCE-HOUSE,40.829970011,-73.878540928
96,2006-06-29,2006-05-29,00:01:00,105.0,QUEENS,341,PETIT LARCENY,,M,BLACK,STREET,40.726818572,-73.75003469
97,2006-04-19,2006-04-19,18:15:00,9.0,MANHATTAN,578,HARRASSMENT 2,25-44,M,BLACK,STREET,,
