,DATE_REPORTED,DATE_OCCURRED,TIME_OCCURRED,PATROL_DIVISION,AREA_NAME,CRIME_CODE,CRIME_DESCRIPTION,VICTIM_AGE,VICTIM_SEX,VICTIM_RACE,PREMISE,LAT,LON
44,2008-03-20,2008-03-20,1510,13,MANHATTAN,341,PETIT LARCENY,UNKNOWN,E,UNKNOWN,DEPARTMENT STORE,40.740160295,-73.99480502600001
46,2008-01-22,2007-12-23,0339,102,QUEENS,114,ARSON,UNKNOWN,E,UNKNOWN,RESIDENCE-HOUSE,40.681654562,-73.852487561
47,2008-07-22,2008-07-22,0853,40,BRONX,344,ASSAULT 3 & RELATED OFFENSES,UNKNOWN,M,UNKNOWN,STREET,40.817396125,-73.92275946699999
48,2009-03-25,2009-03-25,0900,44,BRONX,117,DANGEROUS DRUGS,UNKNOWN,E,UNKNOWN,STREET,40.82386862,-73.919402547
49,2009-10-04,2009-10-04,0200,6,MANHATTAN,344,ASSAULT 3 & RELATED OFFENSES,18-24,M,WHITE,STREET,40.73293622,-74.00006639600001
52,2009-12-18,2009-12-18,1405,48,BRONX,358,OFFENSES INVOLVING FRAUD,UNKNOWN,E,UNKNOWN,STREET,40.844910096,-73.89009752
53,2009-03-25,2009-03-15,1300,113,QUEENS,113,FORGERY,18-24,F,BLACK,BANK,40.687308587,-73.793466566
55,2010-09-03,2010-09-03,0155,52,BRONX,348,VEHICLE AND TRAFFIC LAWS,UNKNOWN,E,UNKNOWN,STREET,40.862412086999996,-73.897982408
57,2009-02-25,2009-02-25,2140,75,BROOKLYN,235,DANGEROUS DRUGS,UNKNOWN,E,UNKNOWN,STREET,40.652762941999995,-73.886283976
59,2008-05-15,2008-05-15,2250,52,BRONX,117,DANGEROUS DRUGS,UNKNOWN,E,UNKNOWN,STREET,40.873418635,-73.87588707
61,2010-06-04,2010-06-04,2130,46,BRONX,113,FORGERY,UNKNOWN,E,UNKNOWN,STREET,40.858683114,-73.899206402
62,2008-02-13,2008-02-06,1230,25,MANHATTAN,341,PETIT LARCENY,25-44,F,WHITE HISPANIC,FAST FOOD,40.804046007,-73.936620103
64,2008-11-09,2008-11-08,2300,34,MANHATTAN,341,PETIT LARCENY,25-44,M,UNKNOWN,STREET,40.869008717,-73.920320439
71,2008-08-27,2008-08-26,1515,52,BRONX,341,PETIT LARCENY,18-24,F,WHITE,PARK/PLAYGROUND,40.869058532,-73.879630148
72,2010-07-24,2010-07-24,2137,47,BRONX,105,ROBBERY,25-44,M,BLACK,STREET,40.887451313,-73.847607787
73,2010-08-19,2010-08-19,2158,68,BROOKLYN,117,DANGEROUS DRUGS,UNKNOWN,E,UNKNOWN,STREET,40.627490043,-74.007138062
75,2006-11-06,2006-10-30,0640,43,BRONX,114,ARSON,UNKNOWN,E,UNKNOWN,RESIDENCE - APT. HOUSE,40.833825473000005,-73.86777226
76,2009-05-05,2009-05-05,1430,18,MANHATTAN,230,JOSTLING,UNKNOWN,E,UNKNOWN,FAST FOOD,40.76239442,-73.983421495
78,2006-12-05,2006-12-05,1825,28,MANHATTAN,117,DANGEROUS DRUGS,UNKNOWN,E,UNKNOWN,OTHER,40.801552393,-73.95746707100001
79,2008-01-07,2008-01-07,1540,73,BROOKLYN,235,DANGEROUS DRUGS,UNKNOWN,E,UNKNOWN,STREET,40.684041558000004,-73.917415401
81,2008-01-17,2008-01-15,0322,60,BROOKLYN,114,ARSON,UNKNOWN,E,UNKNOWN,RESIDENCE - APT. HOUSE,40.576703151,-73.99452975
83,2011-11-23,2011-11-23,1850,101,QUEENS,578,HARRASSMENT 2,45-64,F,BLACK,STREET,40.604791059,-73.753999254
84,2009-01-16,2009-01-16,1830,48,BRONX,352,CRIMINAL TRESPASS,UNKNOWN,E,UNKNOWN,STREET,40.845468077,-73.888079795
85,2011-03-31,2011-03-31,0400,23,MANHATTAN,113,FORGERY,UNKNOWN,E,UNKNOWN,STREET,40.796081631999996,-73.943486226
87,2009-06-25,2009-06-25,1600,103,QUEENS,105,ROBBERY,<18,M,WHITE,STREET,40.715254075,-73.763969741
89,2008-03-15,2008-03-15,0100,43,BRONX,235,DANGEROUS DRUGS,UNKNOWN,E,UNKNOWN,STREET,40.838778865,-73.86470137399999
91,2008-09-26,2008-09-23,0807,109,QUEENS,112,THEFT-FRAUD,45-64,F,BLACK,ATM,40.764830055,-73.822077072
92,2008-03-29,2008-03-29,0305,46,BRONX,109,GRAND LARCENY,UNKNOWN,M,UNKNOWN,STREET,40.860286884000004,-73.894045157
93,2011-05-13,2011-05-13,2030,44,BRONX,235,DANGEROUS DRUGS,UNKNOWN,E,UNKNOWN,STREET,40.82936265,-73.91435510699999
95,2008-05-11,2008-04-11,0300,43,BRONX,344,ASSAULT 3 & RELATED OFFENSES,18-24,F,WHITE HISPANIC,RESIDENCE-HOUSE,40.829970011,-73.878540928
96,2006-06-29,2006-05-29,0001,105,QUEENS,341,PETIT LARCENY,UNKNOWN,M,BLACK,STREET,40.726818572,-73.75003469
98,2007-06-28,2007-06-28,1430,40,BRONX,107,BURGLARY,UNKNOWN,E,UNKNOWN,COMMERCIAL BUILDING,40.809235457,-73.910530216
101,2010-02-20,2010-02-20,1350,13,Newton,900,VIOLATION OF COURT ORDER,45-65,M,Hispanic/Latin/Mexican,SINGLE FAMILY DWELLING,33.9825,-118.2695
102,2010-09-13,2010-09-12,,14,Pacific,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",UNKNOWN,M,White,STREET,33.9599,-118.3962
103,2010-08-09,2010-08-09,1515,13,Newton,946,OTHER MISCELLANEOUS CRIME,UNKNOWN,M,Hispanic/Latin/Mexican,ALLEY,34.0224,-118.2524
104,2010-01-05,2010-01-05,150,6,Hollywood,900,VIOLATION OF COURT ORDER,45-65,F,White,STREET,34.1016,-118.3295
105,2010-01-03,2010-01-02,2100,1,Central,122,"RAPE, ATTEMPTED",45-65,F,Hispanic/Latin/Mexican,ALLEY,34.0387,-118.2488
106,2010-01-05,2010-01-04,1650,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),18-24,M,Black,DEPARTMENT STORE,34.048,-118.2577
